4, 1, 0110
12, 5, 0100
8, 4, 0011
7, 3, 1100
13, 6, 1000
7, 2, 0010
9, 4, 0100
4, 2, 1001
8, 2, 0100
5, 4, 0111
6, 3, 0110
6, 4, 1100
8, 5, 0110
5, 2, 0110
6, 5, 1110
8, 3, 1000
9, 4, 0010
2, 1, 1011
10, 5, 0000
11, 5, 0000
5, 1, 0011
8, 3, 0001
9, 6, 1100
8, 6, 1101
6, 1, 0001
10, 5, 0001
11, 4, 0000
7, 1, 1000
9, 5, 1000
9, 6, 1001
7, 4, 1001
10, 4, 0000
11, 6, 0000
9, 6, 0011
4, 3, 1101
6, 2, 1100
3, 2, 1110
11, 6, 0001
12, 6, 0000
6, 3, 1001
9, 3, 0000
7, 4, 0110
3, 1, 0110
10, 5, 0010
7, 5, 0111
8, 5, 1001
7, 6, 1011
10, 6, 0010
11, 6, 0100
5, 3, 0011
9, 2, 0000
8, 2, 0000
8, 5, 0011
10, 3, 0000
