2, 1, 0011
6, 1, 0000
3, 1, 0101
9, 1, 0001
8, 1, 1110
7, 1, 1000
5, 1, 1100
10, 2, 1101
4, 2, 0101
7, 2, 0111
8, 2, 1001
3, 2, 0011
9, 2, 0000
5, 2, 1100
5, 3, 0100
11, 3, 1010
8, 3, 0000
6, 3, 0010
9, 3, 0111
7, 3, 0011
4, 3, 1000
10, 3, 1110
7, 3, 1101
8, 4, 1011
5, 4, 0001
10, 4, 0010
9, 4, 1001
7, 4, 0100
6, 4, 0011
11, 4, 1010
12, 4, 0101
11, 4, 1101
7, 5, 0001
13, 5, 1010
12, 5, 1110
6, 5, 0010
8, 5, 1001
11, 5, 0101
9, 5, 0011
10, 5, 1100
11, 5, 1011
10, 5, 0110
13, 5, 0000
8, 6, 1100
7, 6, 0111
14, 6, 1110
10, 6, 0010
9, 6, 1011
11, 6, 0001
12, 6, 0000
13, 6, 0101
7, 6, 0100
7, 6, 0011
7, 6, 1001
